P0	P1	P2	P3	P4	DFO	DIL	DFI	DOL	allsites
bic_1	SPC.3.1	IOM3.1.1	WFM2.2	V480	0.292234	0.295673	0.109673	0.125775	587943
bic_1	SPC.3.1	IOM3.1.1	WFM3.1	V480	0.2859	0.28936	0.106907	0.12317	590200
bic_1	SPC.3.1	JAC1.1	ARS.1.1	V480	0.276007	0.291082	0.041706	0.063679	595092
bic_1	SPC.3.1	JAC1.1	ARS2.1	V480	0.271797	0.286543	0.042399	0.063931	593403
bic_1	SPC.3.1	JAC1.1	ARS3.1	V480	0.212643	0.227637	0.041568	0.064461	607065
bic_1	SPC.3.1	JAC1.1	CAR-C27.1	V480	0.257693	0.271118	0.043423	0.0631	602243
bic_1	SPC.3.1	JAC1.1	CARC3.1	V480	0.252175	0.267383	0.043073	0.065492	601736
bic_1	SPC.3.1	JAC1.1	CAR-C4.1	V480	0.215794	0.230749	0.040907	0.063556	609005
bic_1	SPC.3.1	JAC1.1	CED1.1	V480	0.20588	0.219991	0.042438	0.063958	605530
bic_1	SPC.3.1	JAC1.1	CED2.1	V480	0.166254	0.180272	0.042517	0.064564	614365
bic_1	SPC.3.1	JAC1.1	CED3.1	V480	0.355785	0.369161	0.045126	0.063433	581499
bic_1	SPC.3.1	JAC1.1	CUY1.1	V480	0.287522	0.302523	0.041446	0.063095	591620
bic_1	SPC.3.1	JAC1.1	CUY.2.1	V480	0.297682	0.310268	0.042767	0.060824	590895
bic_1	SPC.3.1	JAC1.1	CUY3.1	V480	0.276447	0.291667	0.041532	0.063597	596042
bic_1	SPC.3.1	JAC1.1	GRM4.1	V480	0.221576	0.236477	0.04183	0.06428	603239
bic_1	SPC.3.1	JAC1.1	GRM5.1	V480	0.237735	0.253547	0.041017	0.064535	602320
bic_1	SPC.3.1	JAC1.1	IND2.1	V480	0.22308	0.237252	0.042315	0.063691	607427
bic_1	SPC.3.1	JAC1.1	IND5.1	V480	0.222488	0.236906	0.041104	0.062847	607521
bic_1	SPC.3.1	JAC1.1	IND6.1	V480	0.188922	0.203019	0.042263	0.064077	614450
bic_1	SPC.3.1	JAC1.1	MNZ1.1	V480	0.257678	0.272974	0.041672	0.064172	597991
bic_1	SPC.3.1	JAC1.1	MNZ2.1	V480	0.290575	0.30427	0.043238	0.063002	593606
